survey,id,regions_of_interest,topics_of_interest,special_stories,formats_used,open_text_media,formats_preferred,residence_town,place_of_birth,small_age_band,person_type,web_device,web_at_home,registered_voter,big_age_band,language,latino,gender,tv_video_language,radio_audio_language,print_language,trust_national_news,trust_local_news,trust_social_media_news,trust_news_from_social_circle,trust_sources_of_news_about_my_community,local_news_covers_issues_important_to_me,local_news_reflects_my_beliefs_values
English,2022/06/12 3:11:59 PM EST,Local;State;Regional/New England/NYC Metro;National;International,Sports;Politics;Education;Health;Local events;Diversity and social justice,Topics related to families with children;Topics related to teens;Topics related to seniors;Topics related to small business owners;Topics related to young adults;Topics related to community engagement,Social media,CNN,TV,Meriden,USA,30-39,Student,Yes,Yes,Yes,age30_49,English,No,Woman,English,English,English,Some,Some,Some,Not at all,Neutral,Agree,Neutral
English,2022/06/12 4:07:52 PM EST,National,"Sports;Politics;Music, arts, and culture;Local businesses;Education;Health;Local events;Community resources (for example: assistance programs, small business resources, non-profits);Finance, wealth, and financial literacy;Real estate and homeownership;Opportunities for community engagement;Diversity and social justice;Environmental issues & climate change;Technology;Travel and hospitality;Food",Topics related to families with children;Topics related to teens;Topics related to seniors;Topics related to small business owners;Topics related to young adults;Topics related to community engagement,Social media,"Facebook, Twitter, Tik Tok, Instagram, Snapchat",News apps/news websites,Meriden,USA,50-59,None of these,No,Yes,No,age50_99,English,Yes,Woman,English,English,English,A lot,Not at all,Some,Some,Neutral,Agree,Neutral
English,2022/06/12 4:29:35 PM EST,Local,Sports;Local businesses;Education;Real estate and homeownership;Food,None of these,Radio,NPR,Radio,Meriden,OTHER,70 or older,None of these,Yes,Yes,Yes,age50_99,English,No,Man,English,English,English,Not at all,A lot,Not at all,A lot,Disagree,Neutral,Neutral
English,2022/06/13 1:08:17 PM EST,Local;State;Regional/New England/NYC Metro,"Sports;Music, arts, and culture;Local businesses;Education;Health;Local events;Community resources (for example: assistance programs, small business resources, non-profits);Travel and hospitality;Food",Topics related to families with children;Topics related to teens;Topics related to seniors;Topics related to small business owners;Topics related to young adults;Topics related to community engagement,Social media,Record Journal  Facebook Telemundo,Email/newsletter,Meriden,USA,60-69,None of these,Yes,Yes,Yes,age50_99,English,Yes,Woman,English,English,English,A lot,A lot,Some,Not at all,Neutral,Agree,Neutral
English,2022/06/14 1:53:21 PM EST,Local;State,"Local businesses;Local events;Community resources (for example: assistance programs, small business resources, non-profits);Food",Topics related to small business owners;Topics related to young adults;Topics related to community engagement,Social media,Record Journal,Social media,Wallingford,USA,18-29,Student,Yes,Yes,Yes,NA,Both English and Spanish,Yes,Woman,Both English and Spanish,Both English and Spanish,Both English and Spanish,Some,A lot,Some,Some,Agree,Agree,Agree
English,2022/06/14 7:24:42 PM EST,Local;National;International,"Sports;Music, arts, and culture",Topics related to teens;Topics related to seniors;Topics related to small business owners,Social media,Univision,Social media,Meriden,USA,Under 18,Student,Yes,Yes,No,age00_29,Both English and Spanish,Yes,Man,English,English,English,A lot,A lot,Some,Some,Agree,Neutral,Agree
English,2022/06/15 4:49:43 PM EST,Local;International,"Politics;Education;Finance, wealth, and financial literacy;Diversity and social justice;Technology",Topics related to families with children;Topics related to teens;Topics related to seniors;Topics related to small business owners;Topics related to young adults;Topics related to community engagement,News apps/news websites,NPR,Radio,Meriden,OTHER,40-49,Business owner,Yes,Yes,Yes,age30_49,English,Opt out,Man,Both English and Spanish,Both English and Spanish,Both English and Spanish,Some,Some,Some,Not at all,Agree,Agree,Agree
English,2022/06/15 4:58:18 PM EST,Local,"Politics;Local businesses;Education;Health;Local events;Finance, wealth, and financial literacy;Diversity and social justice;Resources",Topics related to families with children;Topics related to teens;Topics related to seniors;Topics related to small business owners;Topics related to young adults;Topics related to community engagement,TV,Newspaper,Newspapers,Meriden,USA,50-59,Student,Yes,Yes,Yes,age50_99,Both English and Spanish,Yes,Woman,English,English,English,A lot,Some,Not at all,Some,Agree,Agree,Agree
English,2022/06/16 4:22:39 PM EST,International,"Music, arts, and culture;Local events;Travel and hospitality",Topics related to families with children,Social media,Social media,Social media,Meriden,USA,18-29,Parent,Yes,Yes,Not sure,NA,English,No,Man,English,English,English,Some,Some,Some,Some,Disagree,Agree,Neutral
English,2022/06/16 4:34:30 PM EST,State,"Sports;Music, arts, and culture;Local businesses;Education;Health;Food",Topics related to families with children;Topics related to young adults,News apps/news websites,CNN and NPR,News apps/news websites,Meriden,OTHER,40-49,Parent,Yes,Yes,Yes,age30_49,English,No,Man,English,English,English,Some,Some,Some,Some,Neutral,Neutral,Neutral
English,2022/06/16 4:57:31 PM EST,Local;State;Regional/New England/NYC Metro;National;International,Sports;Health;Religion,Topics related to families with children;Topics related to teens;Topics related to seniors,TV,MBC,TV,All others,USA,50-59,None of these,Yes,Yes,No,age50_99,English,No,Man,English,English,English,Some,Some,Some,Some,Neutral,Agree,Neutral
English,2022/06/16 5:12:12 PM EST,Local,"Local events;Community resources (for example: assistance programs, small business resources, non-profits);Real estate and homeownership;Diversity and social justice",Topics related to teens;Topics related to young adults;Topics related to community engagement,Social media,Telemundo,Social media,Meriden,PUERTO RICO,Under 18,Student,Yes,Yes,No,age00_29,Both English and Spanish,Yes,Woman,Both English and Spanish,Both English and Spanish,Both English and Spanish,Some,Some,Some,Some,Agree,Agree,Neutral
English,2022/06/16 5:20:38 PM EST,None,"Music, arts, and culture;Food",Topics related to families with children,Text message,Facebook,Text message,Meriden,USA,40-49,None of these,Yes,Yes,Yes,age30_49,Both English and Spanish,Yes,Woman,English,English,English,Some,Not at all,Some,A lot,Disagree,Neutral,Neutral
English,2022/06/16 5:50:08 PM EST,Local;State;Regional/New England/NYC Metro;National;International,"Sports;Music, arts, and culture;Local businesses;Education;Health;Local events;Community resources (for example: assistance programs, small business resources, non-profits);Finance, wealth, and financial literacy;Real estate and homeownership;Opportunities for community engagement;Diversity and social justice;Technology;Travel and hospitality;Food",Topics related to families with children;Topics related to small business owners;Topics related to community engagement,Radio,NPR,Radio,All others,OTHER,40-49,Parent,Yes,Yes,Yes,age30_49,Both English and Spanish,Yes,Man,English,English,English,Some,Some,Not at all,Some,Neutral,Neutral,Neutral
English,2022/06/16 5:52:12 PM EST,State,"Politics;Local businesses;Community resources (for example: assistance programs, small business resources, non-profits);Real estate and homeownership",Topics related to teens;Topics related to seniors,Social media,Fox news,Newspapers,Meriden,USA,60-69,None of these,Yes,Yes,Yes,age50_99,English,No,Man,English,English,English,Not at all,A lot,Some,Not at all,Disagree,Neutral,Neutral
English,2022/06/17 4:27:48 PM EST,State,Education;Health;Technology;Travel and hospitality,Topics related to small business owners,News apps/news websites,Cnn,Social media,Meriden,DOMINICAN REPUBLIC,18-29,Student,Yes,Yes,Yes,NA,Spanish,Yes,Woman,Both English and Spanish,Both English and Spanish,Both English and Spanish,Some,A lot,Some,Some,Neutral,Neutral,Neutral
English,2022/06/17 5:29:17 PM EST,Local;State,Politics;Local businesses;Health,Topics related to seniors;Topics related to small business owners;Topics related to young adults,TV,Facebook,Social media,Meriden,USA,50-59,Business owner,Yes,Yes,Yes,age50_99,English,No,Woman,English,English,English,Some,Some,Some,Some,Agree,Neutral,Disagree
English,2022/06/17 5:41:28 PM EST,Local,Sports,Topics related to families with children,TV,Fox News,TV,Meriden,USA,30-39,Parent,No,Yes,Yes,age30_49,English,No,Man,English,English,English,Some,Some,Some,A lot,Neutral,Agree,Neutral
English,2022/06/17 5:48:14 PM EST,Local,"Music, arts, and culture;Food",None of these,Social media,Record Journal,Social media,Meriden,USA,30-39,Student,Yes,Yes,Yes,age30_49,English,No,Transgender & NB,English,English,English,Some,A lot,A lot,Some,Agree,Agree,Neutral
English,2022/06/17 5:52:33 PM EST,National,Education;Health,Topics related to families with children,Radio,Fox,Newspapers,Meriden,USA,30-39,Parent,Yes,Yes,Yes,age30_49,Both English and Spanish,Yes,Woman,Both English and Spanish,Both English and Spanish,Both English and Spanish,Some,Some,Some,Some,Neutral,Neutral,Neutral
English,2022/06/17 6:03:23 PM EST,International,"Music, arts, and culture;Education;Diversity and social justice;Technology",Topics related to families with children;Topics related to small business owners,Social media,CNN and Facebook,Social media,All others,OTHER,18-29,Student,Yes,Yes,Yes,NA,NA,No,Woman,English,English,English,Some,Some,Some,Some,Agree,Neutral,Neutral
English,2022/06/17 8:21:22 PM EST,Local;State,Politics;Opportunities for community engagement;Environmental issues & climate change;Technology;Food,Topics related to community engagement,Social media,Funnyjunk,Email/newsletter,Meriden,PUERTO RICO,18-29,None of these,Yes,Yes,No,NA,English,Yes,Man,English,I don't use this format,English,Not at all,Some,Not at all,Not at all,Disagree,Agree,Disagree
English,2022/06/17 10:44:18 PM EST,Local;State;Regional/New England/NYC Metro;National;International,"Music, arts, and culture;Local businesses;Education;Health;Local events;Community resources (for example: assistance programs, small business resources, non-profits);Opportunities for community engagement;Diversity and social justice;Environmental issues & climate change;Technology;Travel and hospitality;Food",Topics related to families with children;Topics related to teens;Topics related to seniors;Topics related to small business owners;Topics related to community engagement,News apps/news websites,NPR NBC REUTERS AP GOOGLE,Newspapers,Meriden,USA,40-49,Parent,Prefer not to say,No,Yes,age30_49,English,Opt out,Opt out,English,English,English,A lot,A lot,Not at all,Not at all,Agree,Neutral,Neutral
English,2022/06/18 10:10:34 AM EST,Local,Sports;Local businesses;Health;Local events;Travel and hospitality;Food,Topics related to small business owners;Topics related to community engagement,TV,MBC CT,TV,Meriden,USA,18-29,None of these,Yes,Yes,Yes,NA,English,No,Man,English,English,English,Some,A lot,Not at all,Some,Neutral,Neutral,Neutral
English,2022/06/18 10:15:36 AM EST,Local;State,"Politics;Music, arts, and culture;Local businesses;Education;Health;Local events;Community resources (for example: assistance programs, small business resources, non-profits);Real estate and homeownership;Diversity and social justice;Technology;Food",Topics related to families with children;Topics related to teens;Topics related to small business owners;Topics related to young adults;Topics related to community engagement,Social media,CNN,Text message,Meriden,USA,40-49,Parent,Yes,Yes,Yes,age30_49,English,Yes,Woman,English,English,English,A lot,Some,Some,Not at all,Neutral,Agree,Neutral
English,2022/06/18 10:28:08 AM EST,National,Politics;Local businesses;Health;Environmental issues & climate change,Topics related to small business owners,TV,Fox,TV,Meriden,USA,50-59,Business owner,Yes,Yes,Yes,age50_99,NA,No,Man,English,English,English,Some,A lot,Some,Some,Agree,Agree,Neutral
English,2022/06/19 4:08:23 PM EST,Local;State;National;International,"Politics;Music, arts, and culture;Local businesses;Education;Health;Local events;Finance, wealth, and financial literacy;Real estate and homeownership;Technology;Food",Topics related to families with children;Topics related to small business owners;Topics related to community engagement,News apps/news websites,Slashdot,News apps/news websites,Wallingford,USA,40-49,Parent,Yes,Yes,Yes,age30_49,English,No,Man,English,English,English,Some,Some,Not at all,Some,Agree,Neutral,Neutral
English,2022/06/19 4:13:10 PM EST,Local;State;National;International,"Sports;Politics;Music, arts, and culture;Health;Community resources (for example: assistance programs, small business resources, non-profits);Opportunities for community engagement;Diversity and social justice;Environmental issues & climate change",Topics related to families with children;Topics related to small business owners;Topics related to community engagement,Social circles,"NPR, twitter, the Atlantic, NYT",News apps/news websites,New Haven,USA,40-49,Parent,Yes,Yes,Yes,age30_49,English,Yes,Man,English,English,NA,Some,A lot,Not at all,Some,Neutral,Neutral,Neutral
English,2022/06/19 5:01:43 PM EST,Local;State,"Sports;Politics;Health;Finance, wealth, and financial literacy;Technology",None of these,TV,NA,TV,Wallingford,USA,Under 18,Student,Yes,Yes,No,age00_29,Both English and Spanish,Yes,Man,English,English,English,A lot,A lot,A lot,A lot,Agree,Agree,Agree
English,2022/06/19 5:40:38 PM EST,Local,Sports;Education;Health;Local events;Technology,Topics related to families with children;Topics related to seniors,Social circles,Record journal Facebook,Social media,Wallingford,OTHER,40-49,Parent,Yes,Yes,Yes,age30_49,English,No,Woman,English,English,English,A lot,A lot,Some,Some,Agree,Agree,Agree
English,2022/06/21 8:38:31 PM EST,Local;State,"Music, arts, and culture;Education;Health;Local events;Travel and hospitality",Topics related to seniors;Topics related to community engagement,News apps/news websites,NA,News apps/news websites,All others,USA,40-49,Student,Yes,Yes,Yes,age30_49,Both English and Spanish,Yes,Woman,Both English and Spanish,Both English and Spanish,Both English and Spanish,Some,Some,Not at all,Not at all,Agree,Agree,Neutral
English,2022/06/22 4:23:17 PM EST,National,"Politics;Local businesses;Education;Finance, wealth, and financial literacy",Topics related to families with children;Topics related to teens;Topics related to seniors;Topics related to small business owners;Topics related to young adults;Topics related to community engagement,TV,Fox News,TV,Meriden,USA,40-49,Business owner,Yes,Yes,Yes,age30_49,English,Yes,Man,English,English,English,Some,Some,Not at all,Some,Neutral,Neutral,Neutral
English,2022/06/22 4:43:56 PM EST,State,"Politics;Music, arts, and culture;Health;Local events;Opportunities for community engagement;Diversity and social justice",Topics related to community engagement,TV,Television and social media,Email/newsletter,Meriden,USA,50-59,None of these,Yes,Yes,Yes,age50_99,English,Yes,Woman,English,English,English,Some,Some,Not at all,Some,Neutral,Agree,Neutral
English,2022/06/22 5:44:50 PM EST,Local;State,"Education;Health;Local events;Community resources (for example: assistance programs, small business resources, non-profits);Finance, wealth, and financial literacy;Opportunities for community engagement",Topics related to families with children;Topics related to small business owners;Topics related to community engagement,Social media,"Facebook, Meriden news",Radio,Meriden,PUERTO RICO,18-29,Student,Yes,Yes,Yes,NA,Both English and Spanish,Yes,Woman,English,English,English,A lot,A lot,Some,Not at all,Agree,Neutral,Agree
English,2022/06/22 6:17:28 PM EST,International,"Music, arts, and culture;Food",Topics related to community engagement,Newspapers,Record journal,Newspapers,Meriden,OTHER,50-59,None of these,No,No,Yes,age50_99,NA,Yes,Man,Spanish,Spanish,Spanish,Some,Some,Not at all,Not at all,Agree,Agree,Disagree
English,2022/06/23 4:20:34 PM EST,Local;State;Regional/New England/NYC Metro;National;International,"Education;Health;Community resources (for example: assistance programs, small business resources, non-profits);Opportunities for community engagement;Environmental issues & climate change;Food",Topics related to families with children;Topics related to teens;Topics related to small business owners;Topics related to young adults;Topics related to community engagement,Social media,Tik tok,Social media,All others,OTHER,18-29,None of these,Yes,Yes,No,NA,English,No,Woman,English,English,English,Some,Some,Some,Some,Neutral,Neutral,Neutral
English,2022/06/23 4:26:42 PM EST,State,"Music, arts, and culture;Health;Community resources (for example: assistance programs, small business resources, non-profits);Travel and hospitality;Food",Topics related to families with children;Topics related to small business owners;Topics related to young adults;Topics related to community engagement,Social media,Facebook and Fox,TV,Meriden,USA,30-39,Business owner,Yes,Yes,Yes,age30_49,English,No,Woman,English,English,English,Some,A lot,A lot,Some,Neutral,Neutral,Disagree
English,2022/06/23 5:02:21 PM EST,State,"Sports;Music, arts, and culture",Topics related to small business owners,TV,Patch,TV,Meriden,PUERTO RICO,50-59,None of these,No,Yes,No,age50_99,English,Yes,Man,Both English and Spanish,Both English and Spanish,Both English and Spanish,Some,Not at all,Not at all,Not at all,Agree,Agree,Disagree
English,2022/06/23 5:10:55 PM EST,National;International,"Sports;Politics;Music, arts, and culture;Education;Health;Real estate and homeownership",Topics related to families with children;Topics related to teens;Topics related to seniors;Topics related to small business owners;Topics related to young adults;Topics related to community engagement,News apps/news websites,MSBNC,News apps/news websites,Meriden,USA,18-29,None of these,Yes,Yes,Yes,NA,English,No,Man,Both English and Spanish,Both English and Spanish,Both English and Spanish,Some,Some,Some,Some,Neutral,Neutral,Disagree
English,2022/06/23 5:19:26 PM EST,National,"Health;Local events;Finance, wealth, and financial literacy",Topics related to families with children;Topics related to teens;Topics related to seniors;Topics related to small business owners;Topics related to young adults;Topics related to community engagement,TV,Record Journal and Facebook,TV,Meriden,USA,50-59,Parent,Yes,Yes,Yes,age50_99,English,Yes,Woman,English,English,English,Some,Some,Some,Some,Neutral,Neutral,Neutral
English,2022/06/23 5:23:39 PM EST,State,"Sports;Education;Finance, wealth, and financial literacy",Topics related to families with children;Topics related to young adults,TV,News Channel,TV,Wallingford,USA,40-49,Parent,Yes,Yes,Yes,age30_49,English,No,Woman,English,English,English,Some,Some,Some,Some,Neutral,Neutral,Neutral
English,2022/06/23 5:27:52 PM EST,Local,"Education;Local events;Finance, wealth, and financial literacy;Real estate and homeownership;Food",Topics related to families with children,News apps/news websites,Smart news,News apps/news websites,Meriden,USA,18-29,Student,Yes,Yes,Yes,NA,English,No,Woman,English,English,English,Some,Some,Some,Not at all,Neutral,Disagree,Disagree
English,2022/06/24 6:22:49 AM EST,Local;State;Regional/New England/NYC Metro;National;International,"Sports;Politics;Music, arts, and culture;Education;Local events;Diversity and social justice",Topics related to families with children;Topics related to teens;Topics related to seniors;Topics related to small business owners;Topics related to community engagement,Text message,NA,TV,Meriden,OTHER,70 or older,None of these,No,Prefer not to say,Yes,age50_99,NA,Opt out,Woman,Both English and Spanish,Both English and Spanish,Both English and Spanish,Some,Some,Some,Some,Neutral,Neutral,Neutral
English,2022/06/24 4:14:14 PM EST,Local;State;Regional/New England/NYC Metro;National;International,"Music, arts, and culture;Health;Local events;Food",Topics related to families with children;Topics related to teens;Topics related to seniors;Topics related to small business owners;Topics related to young adults;Topics related to community engagement,Radio,NPR,Radio,Meriden,USA,60-69,None of these,Yes,Yes,Yes,age50_99,English,No,Woman,English,English,English,Some,A lot,Some,Some,Agree,Agree,Agree
English,2022/06/24 4:51:07 PM EST,Local;State;Regional/New England/NYC Metro;National;International,"Local businesses;Local events;Community resources (for example: assistance programs, small business resources, non-profits);Opportunities for community engagement;Diversity and social justice",Topics related to families with children;Topics related to teens;Topics related to seniors;Topics related to small business owners;Topics related to young adults;Topics related to community engagement,TV,Telemundo,TV,Meriden,USA,30-39,Student,Yes,Yes,Yes,age30_49,English,Yes,Woman,Both English and Spanish,Both English and Spanish,Both English and Spanish,Some,A lot,Some,Some,Neutral,Neutral,Neutral
English,2022/06/24 4:57:40 PM EST,National,"Politics;Music, arts, and culture;Local events;Community resources (for example: assistance programs, small business resources, non-profits);Diversity and social justice;Technology;Travel and hospitality;Food",Topics related to families with children;Topics related to teens;Topics related to young adults;Topics related to community engagement,Social media,Google news,News apps/news websites,All others,OTHER,30-39,Student,Yes,Yes,No,age30_49,English,No,Man,English,English,English,Some,Some,Not at all,Some,Agree,Agree,Agree
English,2022/06/24 5:04:03 PM EST,State,"Music, arts, and culture;Local businesses;Education;Health;Community resources (for example: assistance programs, small business resources, non-profits)",Topics related to families with children;Topics related to teens;Topics related to seniors;Topics related to small business owners;Topics related to young adults;Topics related to community engagement,TV,CBS,TV,Meriden,USA,50-59,Parent,Yes,Yes,Yes,age50_99,English,No,Woman,Both English and Spanish,Both English and Spanish,Both English and Spanish,Some,Some,Some,Some,Agree,Agree,Agree
English,2022/06/24 6:00:48 PM EST,Local;State;Regional/New England/NYC Metro;National;International,Sports;Politics;Local businesses;Education;Health,Topics related to families with children;Topics related to teens;Topics related to community engagement,Radio,NPR,Radio,Meriden,USA,40-49,None of these,Yes,Yes,Yes,age30_49,English,No,Man,English,English,English,Some,Some,Not at all,Not at all,Disagree,Disagree,Disagree
English,2022/06/24 6:10:27 PM EST,Local,"Education;Local events;Finance, wealth, and financial literacy;Real estate and homeownership;Food",Topics related to families with children;Topics related to teens;Topics related to young adults;Topics related to community engagement,Social media,Record Journal,Newspapers,Meriden,USA,30-39,Parent,Yes,Yes,Yes,age30_49,Both English and Spanish,Yes,Woman,English,English,English,Not at all,Some,Not at all,Not at all,Neutral,Agree,Neutral
English,2022/06/25 9:39:39 AM EST,Local;State;Regional/New England/NYC Metro;National;International,"Sports;Politics;Music, arts, and culture;Local businesses;Education;Health;Local events;Community resources (for example: assistance programs, small business resources, non-profits);Finance, wealth, and financial literacy;Real estate and homeownership;Opportunities for community engagement;Diversity and social justice;Environmental issues & climate change;Technology;Travel and hospitality;Food",Topics related to families with children;Topics related to teens;Topics related to seniors;Topics related to small business owners;Topics related to young adults;Topics related to community engagement,Newspapers,"Record Journal, Current and New York post",Newspapers,Meriden,USA,60-69,None of these,Yes,Yes,Yes,age50_99,English,No,Man,English,English,English,Not at all,Some,Some,Not at all,Neutral,Agree,Neutral
English,2022/06/25 10:25:23 AM EST,Local;State;Regional/New England/NYC Metro;National;International,Education;Health;Diversity and social justice;Travel and hospitality,Topics related to families with children;Topics related to teens;Topics related to seniors;Topics related to small business owners;Topics related to young adults;Topics related to community engagement,TV,"CNN, NBC",TV,All others,OTHER,50-59,Student,Yes,Yes,Not sure,age50_99,English,No,Woman,English,English,English,Some,Some,Not at all,Some,Agree,Neutral,Agree
English,2022/06/25 10:47:37 AM EST,Local;International,"Music, arts, and culture;Local businesses;Education;Health;Local events;Finance, wealth, and financial literacy;Real estate and homeownership;Opportunities for community engagement;Diversity and social justice;Technology;Travel and hospitality;Food",Topics related to families with children;Topics related to seniors;Topics related to small business owners;Topics related to community engagement,Social media,CNN,Social media,All others,OTHER,50-59,None of these,Yes,Yes,Yes,age50_99,English,No,Man,English,English,English,Some,A lot,Some,A lot,Agree,Neutral,Neutral
English,2022/06/26 9:46:49 AM EST,NA,"Sports;Education;Health;Finance, wealth, and financial literacy;Food",Topics related to families with children;Topics related to teens;Topics related to seniors;Topics related to young adults;Topics related to community engagement,TV,CNN,TV,Meriden,OTHER,40-49,Parent,Yes,Yes,No,age30_49,English,No,Woman,Both English and Spanish,Both English and Spanish,Both English and Spanish,Some,Some,Some,Some,Neutral,Agree,Neutral
English,2022/06/26 10:31:21 AM EST,Local,Local businesses;Education;Local events;Food,Topics related to small business owners,Social media,Fox news,Social media,Meriden,USA,40-49,None of these,Yes,Yes,Yes,age30_49,English,No,Man,English,English,English,Some,Some,Some,A lot,Neutral,Neutral,Neutral
English,2022/06/26 11:44:05 AM EST,Local,"Music, arts, and culture;Food",Topics related to families with children,Social media,Record Journal,Social media,Meriden,USA,30-39,None of these,No,Yes,Not sure,age30_49,English,Yes,Woman,English,English,English,Some,Some,Some,Some,Neutral,Neutral,Neutral
English,2022/06/29 4:33:54 PM EST,International,"Community resources (for example: assistance programs, small business resources, non-profits);Opportunities for community engagement;Low income Latino community",Topics related to families with children;Topics related to community engagement,TV,"CNN, Telemundo and Univision",TV,Meriden,USA,30-39,Parent,Yes,Yes,Not sure,age30_49,Both English and Spanish,Yes,Man,Both English and Spanish,Both English and Spanish,Both English and Spanish,Some,Some,Not at all,Not at all,Neutral,Disagree,Neutral
English,2022/06/29 4:34:30 PM EST,Local,Local businesses;Education;Health,None of these,TV,Facebook,TV,Meriden,PUERTO RICO,40-49,Parent,Yes,Yes,Not sure,age30_49,Both English and Spanish,Yes,Woman,Spanish,Spanish,Spanish,A lot,Some,Some,Some,Agree,Agree,Agree
English,2022/06/29 4:41:37 PM EST,Local;State,"Politics;Local businesses;Finance, wealth, and financial literacy;Real estate and homeownership;Food",Topics related to families with children;Topics related to teens;Topics related to small business owners;Topics related to young adults,Social media,"WTNH, Record Journal and Meriden patch",News apps/news websites,Meriden,USA,30-39,Parent,Yes,Yes,Yes,age30_49,English,Yes,Woman,English,English,English,Some,A lot,Some,Some,Neutral,Neutral,Neutral
English,2022/06/29 5:51:02 PM EST,Local,Education;Health;Environmental issues & climate change;Travel and hospitality;Food,Topics related to families with children;Topics related to small business owners,Social media,Record Journal and CNN,Social media,Meriden,PUERTO RICO,18-29,None of these,Yes,Yes,Yes,NA,Both English and Spanish,Yes,Woman,Both English and Spanish,Both English and Spanish,Both English and Spanish,Not at all,Not at all,Not at all,Some,Neutral,Neutral,Disagree
English,2022/06/29 6:12:40 PM EST,International,"Politics;Music, arts, and culture;Health;Local events;Real estate and homeownership;Technology;Travel and hospitality;Food",Topics related to small business owners;Topics related to young adults;Topics related to community engagement,Social media,"Univision, Telemundo and Facebook",Social media,Meriden,OTHER,50-59,None of these,Yes,Yes,Yes,age50_99,Spanish,Yes,Man,Spanish,Both English and Spanish,Both English and Spanish,A lot,Some,Some,Some,Neutral,Neutral,Neutral
English,2022/06/30 9:23:17 AM EST,Local;State;Regional/New England/NYC Metro;National;International,"Sports;Politics;Music, arts, and culture;Education;Finance, wealth, and financial literacy;Real estate and homeownership;Food",Topics related to small business owners;Topics related to community engagement,TV,"Record Journal, CNN and Fox news",TV,Meriden,USA,30-39,Parent,Yes,Yes,Yes,age30_49,Both English and Spanish,Yes,Man,Both English and Spanish,Both English and Spanish,Both English and Spanish,Some,A lot,A lot,Not at all,Neutral,Neutral,Disagree
English,2022/06/30 10:10:42 AM EST,Local;State;Regional/New England/NYC Metro;National,"Sports;Local businesses;Education;Health;Community resources (for example: assistance programs, small business resources, non-profits)",Topics related to seniors,Newspapers,Hartford Courant,Newspapers,Hartford,PUERTO RICO,50-59,Business owner,Yes,Yes,Yes,age50_99,Both English and Spanish,Yes,Man,English,English,English,Some,A lot,Some,Not at all,Neutral,Agree,Neutral
English,2022/06/30 10:57:50 AM EST,Local,"Community resources (for example: assistance programs, small business resources, non-profits);Finance, wealth, and financial literacy;Opportunities for community engagement;Travel and hospitality;Food",Topics related to families with children;Topics related to teens;Topics related to small business owners;Topics related to young adults,TV,"Telemundo, Eye Witness news",News apps/news websites,Meriden,PUERTO RICO,50-59,None of these,No,Yes,No,age50_99,Spanish,Yes,Woman,Both English and Spanish,Both English and Spanish,Both English and Spanish,A lot,A lot,A lot,Some,Agree,Agree,Agree
English,2022/07/01 9:29:40 AM EST,National,Politics;Local businesses;Education;Health;Local events;Diversity and social justice;Environmental issues & climate change;Travel and hospitality,Topics related to families with children;Topics related to teens;Topics related to seniors;Topics related to small business owners;Topics related to young adults;Topics related to community engagement,Social media,Facebook,Social media,Meriden,USA,50-59,None of these,Yes,Yes,Yes,age50_99,English,Yes,Woman,English,English,English,Some,A lot,A lot,A lot,Neutral,Neutral,Neutral
English,2022/07/01 11:10:09 AM EST,Local,"Health;Finance, wealth, and financial literacy;Food",Topics related to seniors,TV,WTNS,TV,Meriden,USA,60-69,None of these,No,No,No,age50_99,English,Yes,Woman,English,English,English,A lot,A lot,Some,Some,Agree,Agree,Agree
English,2022/07/02 8:08:32 AM EST,Local;State;National;International,Politics;Real estate and homeownership;local news,None of these,Email/newsletter,yahoo,Email/newsletter,Meriden,USA,70 or older,None of these,Yes,Yes,Yes,age50_99,English,No,Man,English,English,NA,Not at all,A lot,Not at all,Some,Agree,Agree,NA
English,2022/07/02 8:30:27 AM EST,Local;State;Regional/New England/NYC Metro;National;International,"Sports;Music, arts, and culture;Local businesses;Education;Health;Local events;Community resources (for example: assistance programs, small business resources, non-profits);Finance, wealth, and financial literacy;Real estate and homeownership;Opportunities for community engagement;Diversity and social justice;Environmental issues & climate change;Technology;Travel and hospitality;Food",Topics related to families with children;Topics related to teens;Topics related to small business owners;Topics related to young adults;Topics related to community engagement,News apps/news websites,Record Journal and News break app,Newspapers,Wallingford,OTHER,40-49,Parent,Yes,Yes,Yes,age30_49,English,No,Woman,English,English,English,Not at all,A lot,Not at all,Not at all,Agree,Agree,Agree
English,2022/07/02 11:35:35 AM EST,Local;State;International,"Music, arts, and culture;Local businesses;Education;Health;Local events;Community resources (for example: assistance programs, small business resources, non-profits);Finance, wealth, and financial literacy;Real estate and homeownership;Opportunities for community engagement;Diversity and social justice;Environmental issues & climate change;Travel and hospitality;Food",Topics related to families with children;Topics related to seniors;Topics related to small business owners;Topics related to young adults,Radio,Facebook and Telemundo,News apps/news websites,Meriden,USA,40-49,None of these,Yes,Yes,Yes,age30_49,NA,No,Woman,Both English and Spanish,Both English and Spanish,Both English and Spanish,Some,Some,Some,Some,Agree,Agree,Neutral
English,2022/07/02 11:49:51 AM EST,None,NA,Topics related to small business owners,NA,Facebook,Email/newsletter,Meriden,OTHER,40-49,Business owner,Yes,Yes,Yes,age30_49,NA,No,Man,Other,Other,Other,Some,Some,Some,A lot,Neutral,Neutral,Neutral
