Timestamp,Are you interested in news at the following geographical levels? Select all that apply.,Which of these topics interest you most? Select up to five.,Do any of these special stories interest you? Select all that apply.,"Are there any specific stories you would like to see more of in local news? For example, investigative articles, business profiles, opinion columns, cartoons, etc.",In which language do you prefer to get your news? [TV/Video],In which language do you prefer to get your news? [Radio/Audio/Podcast],In which language do you prefer to get your news? [Print/Text],How do you **most frequently** get your news?,"Which specific news sources do you most frequently use? Please list them here. For example, Hartford Courant, Record Journal, FOX news, CNN, NPR, Facebook, Patch, La Voz, Telemundo, etc.",How would you **prefer** to get your news?,"How much do you trust news that comes from... [National news organizations (such as CNN, Univision)]","How much do you trust news that comes from... [Local news organizations (such as the Record-Journal, Patch, the Hartford Courant, CT Mirror)]","How much do you trust news that comes from... [Social media (such as Facebook, Twitter, TikTok, YouTube, Instagram)]",How much do you trust news that comes from... [Family/friends/word of mouth],How much do you agree with the following statements? [I trust the sources of news I get about my community.],How much do you agree with the following statements? [The local news covers issues that are important to me.],"How much do you agree with the following statements? [The local news reflects my beliefs, values, and customs.]",What town do you live in?,Do you identify as Hispanic/Latino/Latinx?,Which country were you born in?,What is your age range?,What is your gender identity?,What language do you speak at home?,Do any of the following describe you?,"Do you have access to a laptop or computer at home, or an internet-enabled device like a smartphone or iPad?",Do you have internet access at home?,Are you registered to vote?,"If you'd like to receive a digital coupon to CTown Supermarket for completing the survey, please provide your email address below. The coupon is valid for $5 off of a purchase of $50 or more.","If you entered your email above, would you also like to receive the Record-Journal Latino Communities Reporting Lab email newsletter?",Are you interested in being contacted to participate in a focus group so we can better understand your answers to the questions in this survey?,Is there anything else you would like to let us know?
2022/05/03 2:04:12 PM EST,Local;State,"Sports;Local businesses;Local events;Community resources (for example: assistance programs, small business resources, non-profits);Opportunities for community engagement",Topics related to teens;Topics related to seniors;Topics related to small business owners;Topics related to community engagement,Feel good stories. Less negative/scare tactics,English,English,English,Social media,N/A,Social media,Not at all,Some,Some,Some,Neutral,Neutral,Disagree,Wallingford,Prefer not to say,USA,30-39,Man,English,None of these,Yes,Yes,Yes,NOT PROVIDED,No,NA,"Please try and be fair about how you report your news. The more you take sides on a particular topic, the more biased your news appears."
2022/05/03 2:49:12 PM EST,Local;State;Regional/New England/NYC Metro,"Health;Local events;Community resources (for example: assistance programs, small business resources, non-profits);Finance, wealth, and financial literacy;Opportunities for community engagement;Diversity and social justice",Topics related to families with children;Topics related to teens;Topics related to young adults;Topics related to community engagement,NA,English,English,English,Social media,"RJ, Facebook and Patch",Social media,Some,Some,Some,Some,Neutral,Neutral,Neutral,Wallingford,Yes,USA,50-59,Woman,Both English and Spanish,I am a parent of a child under 18 years old,Yes,No,Yes,REMOVED,Yes,NA,NA
2022/05/03 2:51:20 PM EST,Local;State,"Music, arts, and culture;Education;Local events;Community resources (for example: assistance programs, small business resources, non-profits);Opportunities for community engagement",Topics related to teens;Topics related to young adults;Topics related to community engagement,Enjoyed reading the personal profiles,English,I don't use this format,English,TV,"Record Journal, CNN, local stations",TV,A lot,A lot,Some,Some,Agree,Agree,Neutral,Wallingford,No,USA,60-69,Woman,English,None of these,Yes,Yes,Yes,REMOVED,No,NA,NA
2022/05/03 5:25:22 PM EST,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,REMOVED,NA,NA,TEST - DELTETE THIS
2022/05/03 5:30:10 PM EST,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,REMOVED,NA,NA,TEST - DELETE THIS
2022/05/03 5:35:04 PM EST,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,REMOVED,NA,NA,FINAL TEST
2022/05/04 8:23:35 AM EST,Local;State;National;International,"Politics;Local events;Finance, wealth, and financial literacy;Opportunities for community engagement;Technology",Topics related to community engagement,"Better coverage of advocacy positions and voting records of elected officials, local, state and national",NA,NA,NA,Newspapers,"Record- Journal, MSNBC, New York Times print edition",Newspapers,A lot,A lot,Not at all,Some,Agree,Neutral,Neutral,Meriden,No,USA,70 or older,Man,English,None of these,NA,Yes,Yes,REMOVED,Yes,NA,How do you access local Spanish language journalism?
2022/05/04 9:34:08 AM EST,Local;State,"Music, arts, and culture;Local businesses;Education;Health;Local events;Community resources (for example: assistance programs, small business resources, non-profits);Opportunities for community engagement;Diversity and social justice;Travel and hospitality",Topics related to families with children;Topics related to teens;Topics related to seniors;Topics related to young adults;Topics related to community engagement,Food/cooking/recipe articles,Both English and Spanish,Both English and Spanish,Both English and Spanish,Social media,"CNN, Record Journal, WTNH, WFSB, El Nuevo Día",Social media,A lot,A lot,Some,Some,Agree,Agree,Neutral,Meriden,Yes,Puerto Rico,40-49,Woman,Both English and Spanish,I am a parent of a child under 18 years old,Yes,Yes,Yes,REMOVED,No,NA,NA
2022/05/05 5:02:59 PM EST,Local;State,"Local businesses;Education;Health;Local events;Community resources (for example: assistance programs, small business resources, non-profits)",Topics related to families with children;Topics related to teens;Topics related to seniors;Topics related to small business owners;Topics related to young adults,NA,English,English,English,"Friends, social circles, or word of mouth",Fox,News apps,Some,Some,Some,Some,Neutral,Neutral,Neutral,Meriden,No,United States,30-39,Woman,English,I am a parent of a child under 18 years old,Yes,Yes,Yes,REMOVED,No,NA,NA
2022/05/05 5:03:56 PM EST,Local;State;Regional/New England/NYC Metro;National,"Music, arts, and culture;Local businesses;Education;Health;Local events;Real estate and homeownership;Diversity and social justice;Environmental issues & climate change;Travel and hospitality",Topics related to families with children;Topics related to teens;Topics related to young adults;Topics related to community engagement,Cartoons,English,English,English,"Friends, social circles, or word of mouth","Fox, radio, NewsBreak, e news",TV,A lot,A lot,Not at all,Some,Neutral,Agree,Neutral,Meriden,Yes,Us,30-39,Woman,English,I am a parent of a child under 18 years old,Yes,Yes,Yes,REMOVED,Yes,NA,No
2022/05/05 5:04:37 PM EST,Local;State;Regional/New England/NYC Metro,"Local businesses;Education;Health;Local events;Community resources (for example: assistance programs, small business resources, non-profits);Finance, wealth, and financial literacy;Diversity and social justice;Travel and hospitality",Topics related to families with children;Topics related to teens;Topics related to seniors;Topics related to community engagement,School events,English,English,English,Radio,Wfsb,Email/newsletter,Some,A lot,Some,Not at all,Agree,Agree,Neutral,Meriden,No,United States,50-59,Woman,English,I am a parent of a child under 18 years old,Yes,Yes,Yes,REMOVED,Yes,NA,NA
2022/05/05 5:06:57 PM EST,Local;Regional/New England/NYC Metro,"Music, arts, and culture;Education;Health;Local events;Finance, wealth, and financial literacy;Real estate and homeownership;Diversity and social justice",Topics related to families with children;Topics related to seniors;Topics related to community engagement,Spanish cartoons?,Both English and Spanish,NA,Both English and Spanish,Newspapers,Record Journal,Email/newsletter,A lot,A lot,Not at all,Some,Neutral,Neutral,Neutral,Middletown,Yes,Puerto Rico,60-69,Woman,Both English and Spanish,None of these,Yes,Yes,Yes,REMOVED,Yes,NA,Not at this time.
2022/05/05 5:08:09 PM EST,Local,Sports;Politics;Education;Health;Local events,Topics related to families with children;Topics related to young adults,NA,Both English and Spanish,NA,Both English and Spanish,Social media,Fox news,Text message,A lot,A lot,A lot,A lot,Agree,Agree,Agree,Meriden,Yes,Puerto Rico 🇵🇷,40-49,Woman,Both English and Spanish,I am a parent of a child under 18 years old,Yes,Yes,No,REMOVED,Yes,NA,NA
2022/05/05 5:23:01 PM EST,Local;State;Regional/New England/NYC Metro;National,"Sports;Politics;Music, arts, and culture;Local businesses;Health;Local events",Topics related to families with children;Topics related to teens;Topics related to small business owners,All stories,English,English,English,TV,Wtnh and nbd and Univison,News apps,Some,A lot,Some,Some,Neutral,Agree,Neutral,Wallingford,Yes,Usa,40-49,Woman,Both English and Spanish,I am a parent of a child under 18 years old,Yes,Yes,No,REMOVED,No,NA,Thanks
